ID_ANIMAL;TYPE;REINO;RAZA;SEXO;NOMBRE;ID_PADRE;ID_MADRE;PROPIETARIO
1;Gato;Mamífero;siamesa;MACHO;Garfield;0;0;1
2;Gato;Mamífero;siamesa;HEMBRA;Bella;0;0;2
3;Gato;Mamífero;siamesa;HEMBRA;Micha;0;0;2
4;Perro;Mamífero;Salchicha;MACHO;Fuet;0;0;3
5;Perro;Mamífero;Boxer;HEMBRA;Perla;0;0;3
6;Perro;Mamífero;Boxer;HEMBRA;Gomi;0;0;1
7;Oveja;Mamífero;Churra;MACHO;;0;0;2
8;Oveja;Mamífero;Merina;HEMBRA;;0;0;2
9;Oveja;Mamífero;Asturiana;HEMBRA;;0;0;3
10;Vaca;Mamífero;Rubia;MACHO;;0;0;1
11;Vaca;Mamífero;Manchega;HEMBRA;;0;0;2
12;Vaca;Mamífero;India;HEMBRA;;0;0;1
13;Tucán;Aves;Tucan Hispanis;MACHO;;0;0;
14;Tucán;Aves;Tucan Hispanis;HEMBRA;;0;0;
15;Tucán;Aves;Tucan Hispanis;HEMBRA;;0;0;
16;Pez Payaso;Pez;Payasus Maximus;MACHO;;0;0;
17;Pez Payaso;Pez;Payasus Maximus;HEMBRA;;0;0;
18;Pez Payaso;Pez;Payasus Maximus;HEMBRA;;0;0;
